OA11CD,Median16,Mean16,Min16,Max16,Median17,Mean17,Min17,Max17,LSOA11CD
E00004696,"38.93333333","40.53333333","5.333333333","166.6666667","38.66666667","55.93333333","9.166666667","183.3333333",E01000944
E00004617,"29.55","42.11666667","9.966666667","120.6333333","37.28571429","52.38571429","10.11428571","154.2714286",E01000932
E00004694,"26.61764706","33.71764706","9.817647059","87.17058824","26.1","42.41111111","7.427777778","126.6944444",E01000945
E00004615,"40.2","55.66666667","7.9","146.6333333","50","62.3","4.7","200",E01000932
E00004144,"65.575","79.4","6.225","188","68.98","79.76","7.26","194.3",E01000843
E00004149,"30.01428571","39.77142857","6.8","114.2","33.5","51.47142857","7.457142857","140.6142857",E01000845
E00004804,"19.2","52.95","1.85","200","25.45","56.85","4.95","200",E01000962
E00004801,"41.61666667","56.38333333","7.35","158.3333333","49.62","69.16","8.52","184",E01000962
E00004330,"50","59.85","5.15","200","50","66.6","7.35","250",E01000879
E00004338,"25.575","39.775","5.175","151","21.425","54.45","3.85","187.5",E01000882
E00004245,"31.6","42.66666667","5.766666667","151.6333333","35.33333333","47.56666667","5.966666667","151.6666667",E01000866
E00004436,"41.9625","49.7625","8.2375","135.45","42.2875","59.6125","6.775","175.4625",E01000898
E00004433,"28","44.05","5.2","163","31.55","60.3","5.6","200",E01000897
E00004748,"31.83333333","43.81666667","5.433333333","162.6666667","40.28333333","49.35","4.733333333","175.3333333",E01000959
E00004749,"40","43.15","6.925","150","46.25","52.075","6.95","162.5",E01000952
E00004156,"28.46666667","47.1","5.7","184","34.5","59.26666667","6.533333333","200",E01000844
E00004302,"40.53333333","54.03333333","5.933333333","200","42.06666667","53.43333333","4.766666667","200",E01000872
E00004383,"44.43333333","46.23333333","4.8","150.6666667","51.3","61.73333333","3.3","200",E01000887
E00004303,"42.52222222","48.72222222","6.866666667","131.7555556","50.15555556","64.08888889","14.72222222","194.3444444",E01000871
E00004382,"54.975","57.175","2.95","152","50.625","57.2","2.65","151",E01000888
